"income","sex","marital status","age","education","occupation","years in bay area","dual incomes","number in household","number of children","householder status","type of home","ethnic classification","language in home"
"$0-$40,000","male","single","14-34","no college graduate","laborer","1-9","not married","1","1+","rent","apartment","hispanic","spanish"
"$0-$40,000","male","married","14-34","no college graduate","homemaker","10+","yes","2+","1+","rent","house","hispanic","spanish"
"$0-$40,000","male","married","35+","no college graduate","laborer","10+","yes","2+","1+","own","house","hispanic","spanish"
"$0-$40,000","male","single","14-34","no college graduate","laborer","1-9","not married","1","0","rent","apartment","hispanic","spanish"
"$0-$40,000","male","married","35+","no college graduate","laborer","1-9","yes","2+","1+","rent","apartment","hispanic","spanish"
"$0-$40,000","male","married","35+","no college graduate","laborer","1-9","yes","2+","1+","rent","house","hispanic","spanish"
"$0-$40,000","male","married","35+","no college graduate","laborer","10+","no","2+","1+","own","house","hispanic","english"
"$0-$40,000","male","married","35+","no college graduate","laborer","1-9","yes","2+","1+","rent","house","hispanic","spanish"
"$0-$40,000","male","married","35+","no college graduate","laborer","1-9","yes","2+","1+","rent","house","hispanic","spanish"
"$0-$40,000","male","married","14-34","no college graduate","laborer","1-9","yes","2+","1+","rent","house","hispanic","spanish"
"$0-$40,000","male","married","35+","no college graduate","laborer","1-9","yes","2+","1+","rent","house","hispanic","spanish"
"$0-$40,000","male","married","14-34","no college graduate","laborer","1-9","yes","2+","1+","rent","house","hispanic","spanish"
"$0-$40,000","male","married","35+","no college graduate","laborer","10+","yes","2+","1+","rent","house","hispanic","spanish"
"$0-$40,000","male","married","35+","no college graduate","laborer","1-9","yes","2+","1+","own","house","hispanic","spanish"
"$0-$40,000","male","married","35+","no college graduate","laborer","1-9","yes","2+","1+","rent","house","hispanic","spanish"
"$0-$40,000","male","single","14-34","no college graduate","laborer","10+","not married","1","0","rent","apartment","hispanic","english"
"$0-$40,000","male","single","14-34","no college graduate","laborer","10+","not married","2+","1+","live with parents/family","house","hispanic","english"
"$0-$40,000","female","divorced","14-34","no college graduate","unemployed","10+","not married","1","1+","live with parents/family","house","hispanic","spanish"
"$0-$40,000","female","divorced","14-34","no college graduate","clerical/service","10+","not married","1","1+","rent","apartment","hispanic","english"
"$0-$40,000","female","cohabitation","14-34","no college graduate","clerical/service","10+","not married","1","0","rent","apartment","hispanic","english"
"$0-$40,000","female","cohabitation","14-34","no college graduate","sales","1-9","not married","2+","1+","rent","house","hispanic","english"
"$0-$40,000","female","single","14-34","no college graduate","unemployed","10+","not married","1","1+","live with parents/family","apartment","hispanic","spanish"
"$0-$40,000","female","single","35+","no college graduate","clerical/service","10+","not married","1","0","rent","apartment","hispanic","english"
"$40,000+","male","married","35+","no college graduate","professional/managerial","10+","yes","2+","1+","own","house","hispanic","spanish"
"$0-$40,000","female","married","14-34","no college graduate","unemployed","10+","no","2+","1+","rent","house","hispanic","spanish"
"$0-$40,000","female","married","14-34","no college graduate","unemployed","1-9","no","2+","1+","rent","apartment","hispanic","spanish"
"$0-$40,000","male","married","14-34","no college graduate","unemployed","1-9","no","1","1+","rent","apartment","hispanic","english"
"$0-$40,000","male","single","14-34","no college graduate","laborer","10+","not married","2+","1+","live with parents/family","house","hispanic","english"
"$0-$40,000","female","married","14-34","no college graduate","unemployed","1-9","no","2+","1+","rent","apartment","hispanic","english"
"$0-$40,000","male","married","14-34","no college graduate","laborer","1-9","yes","2+","1+","rent","house","hispanic","spanish"
"$0-$40,000","female","single","14-34","no college graduate","unemployed","10+","not married","2+","1+","live with parents/family","apartment","hispanic","spanish"
"$0-$40,000","female","single","14-34","no college graduate","unemployed","1-9","not married","1","1+","live with parents/family","house","hispanic","spanish"
"$0-$40,000","female","single","14-34","no college graduate","unemployed","10+","not married","1","1+","live with parents/family","house","hispanic","spanish"
"$0-$40,000","female","single","14-34","no college graduate","clerical/service","10+","not married","1","0","rent","apartment","hispanic","english"
"$0-$40,000","female","single","14-34","no college graduate","sales","10+","not married","1","0","rent","apartment","hispanic","english"
"$0-$40,000","female","cohabitation","14-34","no college graduate","clerical/service","10+","not married","1","0","rent","apartment","hispanic","english"
"$0-$40,000","female","cohabitation","14-34","no college graduate","sales","10+","not married","1","0","rent","house","hispanic","english"
"$0-$40,000","female","cohabitation","14-34","no college graduate","homemaker","10+","not married","1","0","rent","apartment","hispanic","english"
"$0-$40,000","female","cohabitation","14-34","no college graduate","homemaker","1-9","not married","2+","1+","rent","apartment","hispanic","english"
"$0-$40,000","female","cohabitation","14-34","no college graduate","clerical/service","10+","not married","2+","1+","rent","apartment","hispanic","english"
"$0-$40,000","male","single","14-34","no college graduate","laborer","10+","not married","1","0","rent","apartment","hispanic","spanish"
"$0-$40,000","male","married","35+","no college graduate","laborer","10+","no","2+","1+","own","house","hispanic","english"
"$40,000+","female","married","35+","no college graduate","laborer","1-9","yes","2+","1+","own","house","white","english"
"$0-$40,000","female","married","35+","college graduate","professional/managerial","10+","no","2+","1+","rent","house","hispanic","english"
"$0-$40,000","female","cohabitation","14-34","no college graduate","sales","1-9","no","2+","1+","live with parents/family","house","hispanic","spanish"
"$0-$40,000","female","single","14-34","no college graduate","professional/managerial","1-9","not married","1","0","rent","apartment","hispanic","english"
"$0-$40,000","male","divorced","35+","no college graduate","retired","10+","not married","1","0","rent","apartment","hispanic","english"
"$0-$40,000","male","single","14-34","no college graduate","professional/managerial","10+","not married","1","0","own","apartment","hispanic","spanish"
"$0-$40,000","male","single","14-34","no college graduate","laborer","1-9","not married","1","0","live with parents/family","house","hispanic","english"
"$0-$40,000","male","single","14-34","no college graduate","student","1-9","not married","1","0","live with parents/family","house","hispanic","english"
